tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,rti_sigma_dist,rti,lti_sigma_dist,lti,min,max,mean,std,skew,kurt,left,right,maxheight,rightheight,leftheight,n_obs,fit_success
cervix_endocervix,raw,ENSG00000265768.1,MIR4506,0.10256410256410257,21.567524156787485,-0.9842528290590816,0.0050094178832924855,5.589743589743593,392.33234099032836,0.0,4.445598916378997,5.204534625795715e-05,-1.0,0.4054641821772029,-0.8459102771145914,0.36696481268828635,2.2834778114093264,4.262001117006432,-1.0,0.4054641821772029,21.17685807764469,0.0,0.0011021569113066343,23,True
colon_sigmoid,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.26167149650411475,6.278644943106216,-0.3391729778620551,0.42270061764736205,122.18079589847083,4.851603455514268,0.0,0.6780750512279888,0.7946240449144161,-0.541845863055134,1.1109444809075315,-0.1589334818744634,0.29207352212742926,1.5298995603238157,3.381472507130346,-0.541845863055134,1.1109444809075315,6.278541639868636,0.0,4.989080154036007,96,True
colon_sigmoid,raw,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,419,False
colon_transverse,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.7361069605609664,4.2418560759486645,-0.3735008711223912,0.10173061355164117,59.46458734332316,13.03010775121825,0.0,2.9627676546145545,0.012413189240167282,-0.5866258045370656,0.5638121991546996,-0.21563332878547917,0.28996255014828864,1.2877552752448105,0.943678152141934,-0.5866258045370656,0.5638121991546996,4.241854530337935,0.0,0.0526549430143457,56,True
colon_transverse,raw,ENSG00000265768.1,MIR4506,2.7981537227808704,414.57340939190965,-0.9804576415426681,0.013977128588475708,254.59743107034365,156.25007231303775,0.0,1.9773065831205505,0.1427517633715252,-1.0,0.5638121991546996,-0.9082995123423525,0.2707858719259772,3.1225690862654822,9.66464445068065,-1.0,0.5638121991546996,411.1785211437574,0.0,58.69645895376725,479,True
esophagus_gastroesophageal_junction,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.4214725761403681,7.010091581887881,-0.29715027376829345,0.27940399728806187,79.20224626170528,8.219853660051209,0.0,2.5054952393777574,0.043336831293514344,-0.7921571126884749,1.3268335649154095,-0.18972152810573148,0.34224393358927724,1.6496869262108926,4.257215432269029,-0.7921571126884749,1.3268335649154095,7.010085980982198,0.0,0.3037949135108555,82,True
esophagus_gastroesophageal_junction,raw,ENSG00000265768.1,MIR4506,2.1025641025641,321.16641304995704,-0.9717453112341519,0.009865997267536503,319.589743589744,329.4833084468001,0.0,4.05008870058915,0.00027741360580539674,-1.0,1.3268335649154095,-0.8351294424433499,0.3609355418527614,2.3465822946304584,5.799933765666202,-1.0,1.3268335649154095,317.4597922958043,0.0,0.08806766567901159,403,True
esophagus_mucosa,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.12569241478687226,0.6349566806109744,-0.6729287274627268,0.5360231194559539,14.053664359893629,2.5536052492022274,0.0,-0.06864207580080893,1.0,-0.6469116246887012,0.2949529899488932,-0.30569970139744307,0.2610960468234101,0.7524039757283283,-0.1031001382097263,-0.6469116246887012,0.2949529899488932,0.6090985612692376,0.0,0.6090985612692376,17,True
esophagus_mucosa,raw,ENSG00000265768.1,MIR4506,0.4358974358552916,870.3205228852481,-0.987631257569524,0.00621292513321383,13.589743599555137,291.94751245752855,0.0,2.8154279859526556,0.019179445801062414,-1.0,0.2949529899488932,-0.9807767018302224,0.12156365085563735,6.945927080688997,51.45095305687098,-1.0,0.2949529899488932,862.1767477489284,0.0,16.53607220438683,614,True
esophagus_muscularis,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.5456198316883087,13.165050620420532,-0.3357658299872105,0.16800622762235345,68.97709227634536,13.1691025644954,0.0,3.7144469524531267,0.0010092586144940224,-0.7770359724809799,1.2287017312770885,-0.2260698895061082,0.2849212312563755,2.126376446229114,6.437431895680081,-0.7770359724809799,1.2287017312770885,13.164802875367329,0.0,0.013286690710080151,100,True
esophagus_muscularis,raw,ENSG00000265768.1,MIR4506,2.5641025466338334,474.13275113886255,-0.9737668335180768,0.008859590775428928,841.5897435897436,351.56938892394055,0.0,4.187473300191009,0.00015578793090476138,-1.0,1.2287017312770885,-0.8620445435839764,0.3197566712255703,2.4432018422392945,6.317620747212686,-1.0,1.2287017312770885,473.91876308459337,0.0,0.07383082351789261,561,True
fallopian_tube,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.23684212406718905,9.8933761411599,-0.4846642557526177,0.01416364242941088,6.868422537810686,146.38049618141616,0.0,8.055032785041421,8.1574143727448e-15,-0.5653370813851646,0.981366803286508,-0.052451868775939284,0.5234109401341979,0.9099941090176529,-0.5963297187968033,-0.5653370813851646,0.981366803286508,9.874045470299288,0.0,8.054668043655511e-14,13,True
fallopian_tube,raw,ENSG00000265768.1,MIR4506,0.3333333334699328,23.60542795714441,-0.97208364835318,0.0049186845397715204,20.666666666818333,561.6534461185472,0.0,8.026471873055605,1.1179123723106933e-14,-1.0,0.981366803286508,-0.575237044623697,0.5894077433051631,1.2943125837868223,0.6862000650409628,-1.0,0.981366803286508,21.630190411396196,0.0,2.418065747633591e-13,29,True
heart_atrial_appendage,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,1.8264373773545248,16.698742876408268,-0.5477020836919032,0.12977899431548745,154.2543138680752,17.21291198359771,0.0,2.661426064873471,0.028967834716026094,-0.7919347847025743,1.031885657443743,-0.31337249823322294,0.3768747302227722,1.3360504114777456,1.3264054551086986,-0.7919347847025743,1.031885657443743,16.69832312345558,0.0,0.4837142642750578,157,True
heart_atrial_appendage,raw,ENSG00000265768.1,MIR4506,4.025641049130491,350.0853704952396,-0.9754827012126239,0.002242196918702077,1062.974358974359,1266.1009092518755,0.0,15.463716040575255,0.0,-1.0,1.031885657443743,-0.7661593974460217,0.3927828637171033,1.8641129718473815,3.2639985572929593,-1.0,1.031885657443743,310.91227308167396,0.0,0.0,461,True
heart_left_ventricle,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.6327111215288945,5.19640127545024,-0.6187413178404364,0.19010700389902888,97.73132197965592,9.473565397822115,0.0,1.2951682882396587,0.43225907648030454,-0.7928455474796355,0.6547517258829978,-0.4551028910875007,0.2703730157944382,1.5211316937485106,2.8808480133402883,-0.7928455474796355,0.6547517258829978,5.196399763240763,0.0,2.246190962680925,69,True
heart_left_ventricle,raw,ENSG00000265768.1,MIR4506,1.8059514734794788,379.1647632501236,-0.9793174398816632,0.012566932047947397,267.12066330104807,183.8891757561086,0.0,2.3275018049235374,0.06739534205080129,-1.0,0.6547517258829978,-0.916818804170437,0.22251562922666382,3.1200867322607553,10.929086468498763,-1.0,0.6547517258829978,374.84697974265623,0.0,25.262940416466094,452,True
kidney_cortex,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,0,False
kidney_cortex,raw,ENSG00000265768.1,MIR4506,0.0,104.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,8.493566188631232e-188,0.0,,104,True
kidney_medulla,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,0,False
kidney_medulla,raw,ENSG00000265768.1,MIR4506,0.0,11.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,8.983579622590726e-189,0.0,,11,True
liver,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,4,False
liver,raw,ENSG00000265768.1,MIR4506,0.1025641025699867,317.0755029154936,-0.9945615523735939,0.0027840177016669725,5.58974359034745,269.6671494811181,0.0,2.762599672737048,0.022028707142953834,-1.0,-0.4636953963075253,-0.9930017058378992,0.05675951079760635,8.100086326336166,64.65276595503114,-1.0,-0.4636953963075253,316.89492601325696,0.0,6.980785520234073,262,True
lung,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.13589221344535785,2.404142252378073,-0.30078042709616865,0.16692063925915412,8.510220243525477,13.553249098249744,0.0,2.9749704394721914,0.011971676917250765,-0.6519183179678282,1.2989192672853234,-0.12793224740175754,0.44082446895434096,1.945766960394364,3.615654940625742,-0.6519183179678282,1.2989192672853234,2.40411128246551,0.0,0.028781243546794483,20,True
lung,raw,ENSG00000265768.1,MIR4506,0.5128205128205129,673.4493429709988,-0.9715659615928589,0.0007987248548569565,37.74358974358975,4020.096512988011,0.0,50.344999913169026,0.0,-1.0,1.2989192672853234,-0.9711235843510516,0.17467618712718283,7.599210046433905,69.76471491314486,-1.0,1.2989192672853234,14.237693334019475,0.0,0.0,604,True
minor_salivary_gland,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,3,False
minor_salivary_gland,raw,ENSG00000265768.1,MIR4506,0.07692307692307693,207.03062514075611,-0.9936939746272884,0.0008975162970586195,2.7692307692307696,829.0129292594905,0.0,9.93638403668493,0.0,-1.0,-0.4675693253669932,-0.9923725929180276,0.060035475111185815,7.957459272732408,62.770090288336974,-1.0,-0.4675693253669932,205.22662000202558,0.0,0.0,181,True
muscle_skeletal,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,3.5927557119811566,31.18251335334756,-0.46786709535256427,0.21157390202213902,680.5728838273785,13.327453743723195,0.0,1.7610265690808677,0.21211964694882607,-0.731326075451642,1.5259911645325026,-0.2088480636999959,0.4132698533283818,1.35611653808507,1.5769945514864823,-0.731326075451642,1.5259911645325026,31.182435478355792,0.0,6.614407204673379,343,True
muscle_skeletal,raw,ENSG00000265768.1,MIR4506,8.794871794871796,565.6594531226173,-0.9696616414304898,0.002811993992827292,5158.358974358975,1255.1186290475491,0.0,15.257827100122064,0.0,-1.0,1.5259911645325026,-0.6682578066614897,0.47337770590761774,1.4906386747794078,1.8955537311180484,-1.0,1.5259911645325026,519.6262180398993,0.0,0.0,818,True
nerve_tibial,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.2229411275167116,0.616375146113991,-0.28527868074537716,0.08896026233733996,13.629172360407374,7.6656065095091135,0.0,2.4169661723164952,0.05388845613519731,-0.4373164991275962,0.1969217338203297,-0.20587120327173503,0.18895902283378427,0.7480564032653627,-0.4735307718345694,-0.4373164991275962,0.1969217338203297,0.6163605115876276,0.0,0.033214716392157645,15,True
nerve_tibial,raw,ENSG00000265768.1,MIR4506,0.3846153846119117,844.3012276416948,-0.9881714984414783,0.00621086569106547,17.230769231556444,269.84562299457883,0.0,2.6933487469671853,0.026611966644123755,-1.0,0.1969217338203297,-0.9822209970881731,0.12070856505537265,7.014766778008693,49.96174399338999,-1.0,0.1969217338203297,843.736202814021,0.0,22.45347968572634,670,True
ovary,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,8,False
ovary,raw,ENSG00000265768.1,MIR4506,0.21103752336938136,178.0515737056065,-0.9894431154593372,0.008676598339516364,56.177775675884845,135.99359406541947,0.0,1.7206846173594503,0.22896641450490346,-1.0,-0.1550841304748715,-0.9703601370762721,0.14411211994181175,4.721539865171718,20.660505703206105,-1.0,-0.1550841304748715,176.95145329258804,0.0,40.51593980183578,193,True
pancreas,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,4,False
pancreas,raw,ENSG00000265768.1,MIR4506,0.10256409703290591,371.9701388166384,-0.9944432428602861,0.002348233286922298,3.589743591902776,286.59462481972616,0.0,3.346533478407968,0.003702410480174789,-1.0,-0.5185667163154635,-0.9957341724195976,0.04219701234488495,10.228752955870949,104.98198282092152,-1.0,-0.5185667163154635,371.6459331136349,0.0,1.3759857976742642,362,True
pituitary,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,0,False
pituitary,raw,ENSG00000265768.1,MIR4506,0.0,313.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,2.5562367471553613e-187,0.0,,313,True
prostate,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.3081189157781398,1.5154474346852442,-0.3399421058615558,0.12341818310108754,23.120339151816054,7.2558006776048405,0.0,3.854653731628711,0.0005936789222236296,-0.6763370978903023,0.293270416206862,-0.24329154922505747,0.24518917764511922,0.7665799002086076,-0.17015134696315748,-0.6763370978903023,0.293270416206862,1.5154386725638205,0.0,0.000899683997823697,26,True
