gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000223744.1,RBMY2GP,,,,,,,,,,,,,,,,,0,False
ENSG00000229643.2,LINC00280,,,,,,,,,,,,,,,,,1,False
ENSG00000303345.1,ENSG00000303345,,,,,,,,,,,,,,,,,0,False
ENSG00000129816.6,TTTY1B,,,,,,,,,,,,,,,,,0,False
ENSG00000212856.7,TTTY2B,,,,,,,,,,,,,,,,,0,False
ENSG00000147753.11,TTTY7,,,,,,,,,,,,,,,,,0,False
ENSG00000185700.11,TTTY8B,,,,,,,,,,,,,,,,,1,False
ENSG00000235895.1,ENSG00000235895,,,,,,,,,,,,,,,,,0,False
ENSG00000232620.1,TSPY17P,,,,,,,,,,,,,,,,,0,False
ENSG00000224953.1,SRIP3,0.06824992796935295,1.0326204595334179,-0.7154130130540591,0.16187516740279884,9.319346216701135,5.44177554360163,0.0,-0.8157057389635585,-0.0925309035013746,-0.6289370645839195,0.18533489247949703,1.7685230084642367,2.69195283559203,-0.0925309035013746,1.0326197811377587,0.0,16,True
ENSG00000274365.1,ENSG00000274365,,,,,,,,,,,,,,,,,0,False
ENSG00000233634.1,GOT2P5,,,,,,,,,,,,,,,,,0,False
ENSG00000099721.16,AMELY,,,,,,,,,,,,,,,,,2,False
ENSG00000237701.1,ATP5PFP1,0.35608036421825756,0.7744041001860518,-0.7292759809600897,0.05188653318546387,25.15615285129951,6.346079680604409,0.0,-0.8636773462507856,-0.4964426361909002,-0.7019797070707328,0.10161984585608017,0.5080771791136672,-0.4909081465025946,-0.4964426361909002,0.7743987061265412,0.0,22,True
ENSG00000092377.15,TBL1Y,0.1556719270813555,7523.056664878118,-1.4648105535417997,0.15696960164292242,11.892728161483717,5.055392878705208,0.0,-0.9852862204218824,-0.9036909126106004,-0.955120076753435,0.02439126642481307,0.6566160486220259,-0.5569792303511636,-0.9036909126106004,0.6446867472999976,0.0,14,True
ENSG00000273906.1,ENSG00000273906,0.20846527277709165,3.567742201889995,-0.9330596996113893,0.01719036508820658,22.21473743200762,19.315669349302897,0.0,-0.975860491612136,-0.6982695541397117,-0.9195038296217065,0.0549501535170079,2.8616464418654943,9.152407082036076,-0.6982695541397117,3.5674103690974666,0.0,24,True
ENSG00000309393.1,ENSG00000309393,,,,,,,,,,,,,,,,,0,False
ENSG00000232583.1,GPR143YP,,,,,,,,,,,,,,,,,0,False
ENSG00000293442.2,PRKY,0.12642238566718403,644.4942616346518,-1.135499526323434,0.0970153903027676,4.851860029593329,12.723812776564447,0.0,-0.9935123823398466,-0.2626429115230718,-0.9555349297828966,0.0787463101157722,6.6032215665686085,51.000021139059704,-0.2626429115230718,75.67737092972803,0.0,120,True
